,Unnamed: 0,rating,reviewContent,clean_teks
0,0,5,bagus  mantap dah sesui pesanan,bagus mantap sesui pesan
1,1,4,"Bagus, sesuai foto",bagus sesuai foto
2,2,5,okkkkk mantaaaaaaapppp ... goood,okkkkk mantaaaaaaapppp goood
3,3,4,bagus sesuai,bagus sesuai
4,4,5,nan,nan
5,5,5,nan,nan
6,6,5,nan,nan
7,7,1,bima,bima
8,8,1,baru 10 bulan layarnya dah bergaris,layar gar
9,9,5,"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",pesan rabu soreminggu sore sampebarang sesuai specs mantabtks lazada
10,10,5,nan,nan
11,11,1,"Mau tanya ini cicilnya pake apa ya,cc bkn?",cicil pakai yacc
12,12,5,Apakah TV. Tsb. Suda ada anti gores..,televisi suda anti gores
13,13,1,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,kirim barang sesuai janji express jumat barang rabu moga barang awet
14,14,4,Kualitas ok,kualitas ok
15,15,1,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",televisi led merek sharp hitam lc lei mati total mana hubung bantu mohon bijak solusi garansi lazada mohon bantu terimakasih
16,16,3,Pengiriman super lama.. tapi datang juga sich,kirim super sich
17,17,5,ok barang sampai dengan Baik.. smoga terus di pertahankan...,ok barang moga tahan
18,18,5,nan,nan
19,19,3,nan,nan
20,20,5,nan,nan
21,21,5,Kalau mau cicilan gmna cra nya??,cicil cra nya
22,22,5,barang sudah sampai dan bagus thanks lazada,barang bagus terimakasih lazada
23,23,5,Pengiriman cepat sipplahhh.......,kirim cepat sipplahhh
24,24,5,Sampe Sekarang masih Ok ne laptop...,ok ne laptop
25,25,5,nan,nan
26,26,3,nan,nan
27,27,5,nan,nan
28,28,5,nan,nan
29,29,5,Pengiriman cepat..  Packaging good..  Barang oke. Thnks seller Thnks Lazada,kirim cepat packaging good barang oke thnks jual thnks lazada
30,30,5,"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",barang terima selamat produk sesuai deskripsi barang nyape pekanbaruriau terimakasih lazada kotakom pucang laptop mantap
31,31,5,nan,nan
32,32,5,"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",senang belanja disinipelayanan okebarang sesuai ekspektasiorder senin selasa malam settingin sxan kurirnyapokoknya top dehthanks lazada
33,33,4,belum test barangnya,test barang
34,34,1,Sudah cape2 transfer tapi pesanan ditolak,capek transfer pesan tolak
35,35,5,nan,nan
36,36,3,nan,nan
37,37,5,nan,nan
38,38,5,nan,nan
39,39,5,nan,nan
40,40,4,nan,nan
41,41,4,nan,nan
42,42,5,"Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",barang ok kualitas bagus harga miring kualitas gambar ok kirim lumayan sesal poko beli televisi
43,43,5,Saya minat tapi kalau dikirim ke Gresik Jawa Timur bisa gak? Klo dr info pengiriman bebas tapi takut gk sampai.. Dan tanya apa ini sdh full HD apa blm? Terima kasih,minat kirim gresik jawa timur informasi kirim bebas takut full hd terima kasih
44,44,5,nan,nan
45,45,4,Pengn tivinya,pengn tivinya
46,46,5,nan,nan
47,47,5,Mantapppp barang nya,mantapppp barang nya
48,48,3,Barang mulusss mantapppppp,barang mulusss mantapppppp
49,49,5,nan,nan
50,50,1,"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",laptop milik spesifikasi bagus harga jangkau tab spesifikasi utama produk emang intel core i salah judul core i
51,51,5,"Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",barang aman mampu laptop sesuai iklan laptop dos install windows nya overall its worth the uang
52,52,5,Barang sampai 2 hari dengan selamat dan sesuai deskripsi,barang selamat sesuai deskripsi
53,53,5,Harga sangat murah mantep banget,harga murah mantap banget
54,54,3,Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,murah banget enga salah kasih harga tau nati salah kasih informasi barang nya
55,55,1,Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,barang pas dinyalain tanggung lazada
56,56,5,nan,nan
57,57,5,nan,nan
58,58,4,Klo dp1jt tanpa kartu kredit bisa gk? Brp bln pembayarannya dan sebulannya brp? -TerimaKsh,dpjt kartu kredit bayar bulan terimaksh
59,59,1,untuk pemasangan di tembok apa ad pihak dari lazada yg memasang'a ? terima kasih,pasang tembok lazada memasanga terima kasih
60,60,5,nan,nan
61,61,5,"Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",kapasitas hdd asli tb lecet kali buka bungkus bubble nya
62,62,5,barang sesuai dengan gambar,barang sesuai gambar
63,63,4,"HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",hd terima packing bubble bagus tulis barang elektronik terang tangan hati istimewa paket jalan bintang lhah
64,64,5,"Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",mantap juragan barang selamat packing rapih pokok mantap
65,65,5,nan,nan
66,66,5,nan,nan
67,67,5,Oke,oke
68,68,5,"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",puas barang kualitas barang bantu hdd jatuh kirim rapi lecet kasih bintang puas peng
69,69,4,Barang diterima dengan kondisi yang baik tapi packagingnya kurang,barang terima kondisi packagingnya
70,70,5,"Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",suka banget barang packing nya rapi pokok recomended banget beli tas hardisk kulitas bagus yah
71,71,5,nan,nan
72,72,5,nan,nan
73,73,5,nan,nan
74,74,5,"Flashdisk ori, Packing bagus. Saya suka.Thx",flashdisk original packing bagus sukathx
75,75,5,aman cepat pula,aman cepat
76,76,5,nan,nan
77,77,4,Bagus ori kok cuma hanya aja 58 gb:( klo 63 gpp hilang 1 gb,bagus original gb tidak-apa-apa hilang gb
78,78,1,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,kapasitasy bagusss aturany kosong bnyakkk firusss nieh bnyakkk firusss kecewe
79,79,5,"Baguss bangett kurir nya jga ramah, cakep pula wkwk. Ini 64gb tp cmn 58 sekian gb tp gpp lah yah... Pokok nya recomended deh....",baguss bangett kurir nya ramah cakep wkwk gb cmn sekian gb tidak-apa-apa yah pokok nya recomended deh
80,80,5,produk dah sampai kemasan rapih pengiriman cepat barang  bagus pembayaran cod tidak perlu diragukan lagi 👍👍,produk kemas rapih kirim cepat barang bagus bayar bayar kirim ragu
81,81,5,barangnya bagus banget.. sesuai dengan gambar dn deskripsi.. pengiriman cepat.. bagus dn recomended bangt..👍,barang bagus banget sesuai gambar deskripsi kirim cepat bagus recomended bangt
82,82,5,"packing tanpa bubble warp. fisik no minus. Cuma 58 GB, bukan 64. ya lumayan",packing bubble warp fisik nomor minus gb ya lumayan
83,83,5,barang ok .. packing Rapii .. Kurir nya Ramahh .. Puass ..,barang ok packing rapi kurir nya ramahh puass
84,84,5,produk original mantap semoga awet,produk original mantap moga awet
85,85,5,baik. sesuai ekspektasi.,sesuai ekspektasi
86,86,5,👍👍👍,
87,87,5,nan,nan
88,88,4,nan,nan
89,89,5,nan,nan
90,90,5,nan,nan
91,91,5,nan,nan
92,92,5,nan,nan
93,93,5,nan,nan
94,94,5,Barang nya oke makasih,barang nya oke terimakasih
95,95,5,Tumben ninja cepat pengirimannya,tumben ninja cepat kirim
96,96,5,nan,nan
97,97,5,barang asli dan original terimakasih maju terus toko jet store,barang asli original terimakasih maju toko jet store
98,98,5,"Flashdisk nya bagus, sesuai picture, barang cepat sampai, kurir ramah",flashdisk nya bagus sesuai gambar barang cepat kurir ramah
99,99,5,oke... mudah2an awet dan ga crash belum sempet d coba,oke mudah awet crash sempet d coba
100,100,5,kapasitas cumA 58 gb ajaaaaa....  huft...,kapasitas gb ajaaaaa huft
101,101,4,katanya 64 GB nyatanya cuman 58 GB,gb gb
102,102,5,"thks ya barang sdh sampai,smga cocok",thks ya barang sampaismga cocok
103,103,5,siippp...thank lazada,siipppthank lazada
104,104,5,udah di trima ...barang OK Moga awet...,trima barang ok moga awet
105,105,5,josss tenan,josss tenan
106,106,5,nan,nan
107,107,5,nan,nan
108,108,5,nan,nan
109,109,5,nan,nan
110,110,5,nan,nan
111,111,5,"Ini ori, bagus tahan lama masih saya pake",original bagus tahan pakai
112,112,1,kampret kaga kebaca!!,kampret baca
113,113,5,nan,nan
114,114,5,nan,nan
115,115,5,nan,nan
116,116,5,barang bagus quick respon hari ini pesan besok sudah sampai,barang bagus quick respon pesan besok
117,117,4,nan,nan
118,118,4,nan,nan
119,119,5,brang cukup bagus,brang bagus
120,120,5,nan,nan
121,121,5,nan,nan
122,122,5,nan,nan
123,123,5,nan,nan
124,124,3,nan,nan
125,125,5,Sip mantap,sip mantap
126,126,5,nan,nan
127,127,5,nan,nan
128,128,5,nan,nan
129,129,5,nan,nan
130,130,5,nan,nan
131,131,5,nan,nan
132,132,5,nan,nan
133,133,5,nan,nan
134,134,5,nan,nan
135,135,5,nan,nan
136,136,5,nan,nan
137,137,5,nan,nan
138,138,5,bagus ori!,bagus original
139,139,5,nan,nan
140,140,5,nan,nan
141,141,5,nan,nan
142,142,5,nan,nan
143,143,5,nan,nan
144,144,5,nan,nan
145,145,5,nan,nan
146,146,5,nan,nan
147,147,5,nan,nan
148,148,5,nan,nan
149,149,5,real good,real good
150,150,5,nan,nan
151,151,3,nan,nan
152,152,3,nan,nan
153,153,5,nan,nan
154,154,5,nan,nan
155,155,5,bagus,bagus
156,156,5,nan,nan
157,157,5,good,good
158,158,5,nan,nan
159,159,5,nan,nan
160,160,5,nan,nan
161,161,5,nan,nan
162,162,3,nan,nan
163,163,5,nan,nan
164,164,5,nan,nan
165,165,5,nan,nan
166,166,2,nan,nan
167,167,2,"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",kirim tanggal pesan tanggal barang kemas tanggal ambil ekspedisi tanggal dijabotabek
168,168,1,"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",barang kemas lindung apa dus televisi lihat dus sobek curiga kayak pecah eeeeellllaaaa pas buka pecah beneran bad jual bener bener bad jual untung peduli produk untung n pelit paking ya jual barang retur mudah mudah barang cepat kirim d
169,169,4,"Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit.  Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor.",barang terima jadwal malam kondisi barang lindung packing bawa unit kualitas unit kualitas sharp moga awet unit kirim gudang lazada bogor mesti cepat jadwal alamat tuju bogor
170,170,4,masukan saja.. klo bisa packingnya jangan asal.. dikasih buble wrap minimal.. ini cuma dipacking pakai plastik biasa.. sempet khawatir pecah.. tpi untung gk terjadi . ..,masuk packingnya kasih buble wrap minimal dipacking pakai plastik sempet khawatir pecah untung
171,171,5,nan,nan
172,172,4,pesanan sesuai dgn yg di gambar .....skrg sy lg coba smoga awet...,pesan sesuai gambar coba moga awet
173,173,2,Pengiriman tidak sesuai tanggal yang tertera,kirim sesuai tanggal tera
174,174,5,sesuai... no tipu2,sesuai nomor tipu
175,175,5,barang ok packing rapih,barang ok packing rapih
176,176,5,"Barangnya sampai dengan cepat, bagus, terimakasih lazada.",barang cepat bagus terimakasih lazada
177,177,5,"pengiriman cepat packirng rapih harga murah, free ongkir",kirim cepat packirng rapih harga murah free ongkir
178,178,5,mantapp barang nya sesuai pesanan,mantapp barang nya sesuai pesan
179,179,1,Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,beli disiniparah bangetbarang mi ggu alesan nya ganggu lain
